clause_type,clause
19.4.3Limitation,"The Parties shall only be able to claim the benefit of Clause 19.2 to excuse their obligations under this Contract for any Force Majeure Event that occurs, or is in effect, after the Commencement Date."
20.8Equivalent Project Relief,"The Employer shall deliver to the Contractor, prior to the Commencement Date, copies or, in case of non-disclosure or confidentiality undertakings impeding the sharing of copies, extracts of all relevant provisions of each Principal Project Agreement executed on or before the Commencement Date.  Following the Commencement Date, the Employer shall deliver to the Contractor copies or, in case of non-disclosure or confidentiality undertakings impeding the sharing of copies, extracts of all relevant provisions of further Project Documents as soon as practicable following execution. This Clause 20 shall not apply to the extent that any claim by the Contractor is limited or prejudiced by any amendment to the Principal Project Agreements after the date of this Contract."
23.1Notice to proceed for early works,"After the Base Date and prior to the Commencement Date, Employer shall be allowed but shall not be obliged to issue a notice to proceed for the early works as described in Schedule 17 and Contractor undertakes to start such early works in accordance with the time included for such works in Schedule 7 [Programme] subject to Clause 23.2."
23.6Notice to proceed for early works,"For the avoidance of doubt, even if Employer issues a notice to proceed for early works, the conditions for the Commencement Date remain unchanged and Employer is not obliged to waive any of the conditions required to for the Commencement Date."
1.1.67Financial Close,Financial Close means the signing of the Loan Documents and the fulfilment of all conditions to the availability of funds thereunder.
2.5.12.5Employer’s financial arrangements,"Once Financial Close has been achieved, Employer shall submit, within 28 days after receiving any request from the Contractor, reasonable evidence that financial arrangements have been made and are being maintained which will enable the Employer to pay the Contract Price in accordance with Clause 14 [Contract Price and Payment]. If the Employer intends to make any material change to his financial arrangements, the Employer shall give notice to the Contractor with detailed particulars. Any undertakings assumed by Employer under this Sub-Clause 2.5 shall be subject to the confidentiality requirements agreed with Lender and Employer shall be in any case under no obligation to disclose sensitive commercial agreements including but not limited to financing costs, applicable interest rates, fees and commissions paid or details of hedging arrangements."
4.4.1Subcontracts,"The Contractor may subcontract part of the Works: (a)to the Pre-Approved Subcontractors; and (b)to Subcontractors where the aggregate value of the relevant subcontract package or packages for each individual Subcontractor and its respective Affiliates is less than the amount in MYR equivalent to 500,000 USD on the date of Financial Close, in each case without the prior consent of the Employer."
8.7.1Delay Damages,"If the Contractor fails to achieve the Guaranteed Completion Date for the Works, the Contractor shall pay or allow to the Employer liquidated damages for delay at the daily rate equal to the aggregate of: (a) the amount in MYR equivalent to USD 45,790 on the date of Financial Close; plus; (b) the liquidated damages that the Employer paid to the Buyer under the Section 8.1 of the PPA because of delays attributable to Contractor and accrued from the later of PPA COD or, the date falling 14 days after Guaranteed Completion Date or as extended under the Contract, in each case, up to and including the Commercial Operation Date is achieved."
8.7.2Delay Damages,"If the Contractor fails to achieve the Provisional Acceptance Date for the Works within six months after the Commercial Operation Date, the Contractor shall pay or allow to the Employer liquidated damages for delay at the daily rate equal of the amount in MYR equivalent to USD 5,000 on the date of Financial Close, up to and including the Provisional Acceptance Date for the Works."
8.8.1Capacity Liquidated Damages,"If the capacity of the plant in MWp is below the Guaranteed Nominal Capacity the Contractor shall pay the principal Capacity liquidated damages the amount in MYR equivalent to USD 750,000 on the date of Financial Close per each MWp below the Guaranteed Nominal Capacity."
1.6.1Contract Agreement and Prior Agreements,"Each Party shall be responsible for its own expenses incurred in connection with the preparation and execution of the Contract, provided that the costs of stamp duties and similar charges (if any) imposed by law in connection with entry into the Contract Agreement shall be borne by the Contractor."
1.1.70Financing Documents,"“Financing Documents” means the loan agreements (including agreements for any subordinated debt), notes, bonds, indenture, guarantees, security agreements, hedging agreements and any other documents relating to the financing or refinancing and security arrangements for the Project which have been or are to be entered into by the Employer,"
1.1.87Initial Operation Date,“Initial Operation Date” means the date on which Net Electrical Output is first generated and delivered from the Facility to the Grid System which shall occur no earlier than the date defined in the PPA as Initial Operation Date.
1.1.139Site,"""Site"" means the land subject to the Land Lease Agreement, the Site Layout included in the Employer’s Requirements and Right of Ways on which the Project will be undertaken by the Employer in accordance with this Contract and the Principal Project Agreements and to which Plant and Materials are to be delivered and where the Permanent Works are to be executed, and any other places as may be specified in the Contract as forming part of the Site."
2.1.1Right of Access to the Site,"Subject to Sub-Clause 2.1.2, the Employer shall give the Contractor right of access to all parts of the Site, as well as the benefit of any easement granted in favour of the Employer under the Land Lease Agreement, during the performance of the Works and after the Provisional Acceptance Date, to such parts of the Site and the benefit of such easements as the Contractor may reasonably require to comply with its obligations in relation to Defects. The right and, as far as applicable, possession shall not be exclusive to the Contractor."
2.6.1Employer's Claims,"If the Employer considers himself to be entitled to any payment under any Clause of these conditions or otherwise in connection with the Contract, and/or to any extension of the Defects Notification Period he shall give notice and particulars to the Contractor."
3.1.3The Employer's Representative,"If the Employer wishes to replace any person appointed as Employer's Representative, the Employer shall give the Contractor not less than 14 days' notice of the replacement's name, address, duties and authority, and of the date of appointment."
14.1.1The Contract Price,Payment for the Works shall be made on the basis of the lump sum Contract Price (subject to adjustments only in accordance with the Contract) in instalments in accordance with the milestones in the Schedule of Payments.
14.1.2The Contract Price,"The Contractor shall pay all taxes, duties and fees in relation to the Contract, and the Contract Price shall not be adjusted for any of these costs."
14.2.1Application for Interim Payments,"The Contractor shall submit a Statement to the Employer when such payment milestone is achieved as stated in the Schedule of Payments, in a form approved by the Employer, showing in detail the sum that the Contractor considers to be due on the Due Date for Payment and the basis on which that sum is calculated, together with supporting documents which shall include the relevant report on progress in accordance with SubClause 4.20.2 [Progress Reports]. The Due Date for Payment shall be 14 days after receipt and confirmation by the Employer of such statement through the corresponding Payment Notice and after the corresponding invoice has been sent by E-Mail to invoice@ibvogt.com."
14.2.2Application for Interim Payments,"The Statement shall include the following items, as applicable, in the sequence listed:
(a)subject to Sub-Clause 14.3 any instalment of the Contract Price payable, by reference to the milestones in the Schedule of Payments achieved (including Variations but excluding items described in subparagraphs (b) to (d) below); 
(b)any amounts to be added and deducted for approved Variations in accordance with Sub-Clause 13
(c)any other additions or deductions which may have become due under the Contract or otherwise, including those under Clause 22 [Claims and Disputes]; and
(d)the deduction of amounts included in previous Statements."
14.3.1Schedule of Payments,"The Contractor will only be entitled to payment of an instalment in the Schedule of Payments when it has achieved the milestone event for such instalment. If a milestone has been achieved in advance of the time that it is ascribed in the Schedule of Payments, the Contractor shall be entitled to include that amount in a Statement and be entitled to be paid for that milestone. Achievement of each milestone shall be subject to the milestone specific acceptance criteria established in the Employer’s Requirements."
14.4.1Plant and Materials intended for the Works,"If the Contractor is entitled, under the Contract, to an interim payment or Plant and Materials which are not yet on the Site, the Contractor shall nevertheless not be entitled to such payment unless:
(a)the relevant Plant and Materials are in the Country and have been marked as the Employer's property in accordance with Sub-Clause 7.7; or
(b)the Contractor has delivered, to the Employer, evidence of insurance and a bank guarantee in a form and issued by an entity approved by the Employer in amounts and currencies equal to such payment. This guarantee may be in a similar form to the performance bond referred to in SubClause 4.2 [Performance Security and shall be valid until the Plant and Materials are properly stored on Site and protected against loss, damage or deterioration."
14.5.1Interim Payments,"No amount will be paid until the Employer has received and approved the Performance Security required under Sub-Clause 4.2. Thereafter, the Employer shall within 28 days after receiving a Statement and supporting documents, give to the Contractor written notice (Payment Notice) specifying the sum the Employer considers to be due on the Due Date for Payment and the basis on which that sum is calculated (even if the sum calculated may be zero). The Employer shall be entitled to set off any amounts due to it from the Contractor against any payment due by it to the Contractor. Following receipt of such notice, the Contractor shall issue an invoice for the amount stated in the notice to be due, with a copy of the Payment Notice. An invoice may include several Payment Notices."
14.5.2Interim Payments,"If the Employer proposes to pay less than the sum set out in the Payment Notice, the Employer shall give to the Contractor a written notice (Pay Less Notice). The Pay Less Notice shall be given no later than 5 days (the Prescribed Period) before the Final Date for Payment and shall specify the amount of the payment that the Employer considers to be due on the date the Pay Less Notice is given and the basis on which that sum is calculated (even if the sum calculated may be zero). Pay Less Notice may be given in case of (i) any right of Employer to set off amounts due from Contractor, (ii) any right of Employer to withhold costs of rectification or replacement or works or obligations not performed in accordance with the Contract, (iii) any liquidated damages accrued, or (iv) any amounts or taxes invoiced by Contractor but which shall not be paid by Employer."
14.5.3Interim Payments,"Without prejudice to any other right of set-off the Employer may have:
(a)if anything supplied or work done by the Contractor is not in accordance with the Contract, the cost of rectification or replacement may be withheld until rectification or replacement has been completed; and/or
(b)if the Contractor was or is failing to perform any work or obligation in accordance with the Contract, and had been so notified by the Employer, the value of this work or obligation may be withheld until the work or obligation has been performed."
14.5.4Interim Payments,"The Employer may, by any payment, make any correction or modification that should properly be made to any amount previously considered due. Payment shall not be deemed to indicate the Employer's acceptance, approval, consent or satisfaction."
14.5.5Interim Payments,"Where the Employer has given a Payment Notice in accordance with Sub-Clause 14.5.1 but, on the matter being referred to dispute resolution, it has been decided that more than the sum specified in the Payment Notice should be paid to the Contractor, then the Employer shall pay such amount to the Contractor together with interest thereon in accordance with Sub-Clause 14.7 not later than (a) 7 days from the date of such decision, or (b) the date upon which (had the notice not been given) the payment was due, whichever is the later."
14.6.1Timing of Payments,"Except as otherwise stated in SubClause 2.6 [Employer's Claims], the Employer shall pay to the Contractor:
(a)the down-payment in the amount agreed in the Schedule 4 within 14 days after issuance of Performance Security;
(b)the milestone payment of the remaining Contract Price shall be paid in accordance with Sub-Clause 14.2.1, other than the Final Statement; and
(c)any amount unpaid shall be paid latest forty (40) days after receiving the Final Statement and written discharge in accordance with SubClause 14.10 [Application for Final Payment] and SubClause 14.11 [Discharge],
and such dates shall, in each case, be the Final Date for Payment of each such payment."
14.6.2Timing of Payments,"Payment of the amount due in each currency shall be made into the bank account, nominated by the Contractor, in the payment country (for this currency) specified in the Contract."
14.7.1Delayed Payment,"If the Contractor does not receive payment in accordance with SubClause 14.6 [Timing of Payments], the Contractor shall be entitled to receive financing charges compounded monthly on the amount unpaid during the period of delay."
14.7.2Delayed Payment,Such interest shall be calculated at the annual rate of the Delay Interest Rate for the relevant amount.
14.7.3Delayed Payment,"The Contractor shall be entitled to this payment without formal notice, and without prejudice to any other right or remedy."
14.7.4Delayed Payment,"If the Contractor does not receive payment in accordance with Sub-Clause 14.6 [Timing of Payments] and the Employer has not given a Pay Less Notice in accordance with Sub-Clause 14.5.2, the Contractor shall be entitled to suspend performance of its obligations under the Contract upon giving the Employer 7 days’ notice of its intention to suspend, stating the grounds therefor."
14.7.5Delayed Payment,"The Contractor’s right to suspend performance will cease upon payment in full, by the Employer, of all amounts due."
14.7.6Delayed Payment,The Contractor shall be entitled to an extension of the Guaranteed Completion Date for any period during which performance is suspended in pursuance of or in consequence of the exercise of the right to suspend in accordance with Sub-Clause 14.7.
14.7.7Delayed Payment,The reasonable cost and expense to the Contractor occasioned by the stoppage and the subsequent resumption of work shall be added to the Contract Price.
14.9.1Statement at Completion,"Within 84 days after receiving the Provisional Acceptance Certificate for the Works, the Contractor shall submit to the Employer three copies of a Statement at completion with supporting documents, in accordance with SubClause 0 [Application for Interim Payments], showing:
(a)the value of all work done in accordance with the Contract up to the Provisional Acceptance Date for the Works,
(b)any further sums which the Contractor considers to be due, and
(c)an estimate of any other amounts which the Contractor considers will become due to him under the Contract. Estimated amounts shall be shown separately in this Statement at completion."
14.10.1Application for Final Payment,"Within 56 days after receiving the Final Acceptance Certificate, the Contractor shall submit, to the Employer, three copies of a draft final statement with supporting documents showing in detail in a form approved by the Employer:
(a)the value of all work done in accordance with the Contract, and
(b)any further sums which the Contractor considers to be due to him under the Contract or otherwise."
