clause_type,clause
"4.4Permits, approvals and licences","The EPC Contractor shall obtain and maintain, at its cost and expense, all Approvals,  required by the EPC Contractor and which are necessary for the performance of the Contract, including visas for the EPC Contractor's and Subcontractors' employees, entry permits for all imported Construction Equipment and, if required, any necessary building and construction permits and approvals and all other Approvals which are not the responsibility of the Owner under clause 5.3(a) (Permits, approvals and licences) and which are necessary for the performance of the Contract. A non-exhaustive list of Approvals required to be obtained and maintained by the EPC Contractor is set out in appendix F (Approvals)."
4.5Assistance to the Owner,"(a)If so requested by the Owner, the EPC Contractor shall assist the Owner in obtaining in a timely and expeditious manner all necessary Approvals, including any Customs Duties Exemption for the Project which are necessary for the execution of the Works and which are the responsibility of the Owner under clause 5.3(a) (Permits, approvals and licences).
(b)The EPC Contractor shall provide drawings, data, reports, certifications and other documents or assistance from time to time as may be reasonably requested of the Owner by the Financing Parties or the Financing Parties' Technical Adviser with respect to the financing of the Project."
4.6Legal Requirements,"(a)The EPC Contractor shall ascertain and comply with all Legal Requirements affecting the EPC Contractor's performance of the Contract and shall ensure that the execution of the Works and the completed Works comply therewith.
(b)The EPC Contractor shall indemnify and hold harmless the Owner, the Financing Parties and their respective employees, officers, directors and agents (and the Owner acts for itself in connection with such indemnity and as trustee for the Financing Parties and the employees, officers, directors and agents of the Owner and the Financing Parties) from and against any and all suits, actions, administrative proceedings, claims, fines, losses, demands, costs, charges and expenses of whatsoever nature arising out of or resulting from the failure of the EPC Contractor or its employees, officers, directors and agents, or the Subcontractors or their employees, officers, directors and agents, to comply with the Legal Requirements (including the use, presence, suspected presence, treatment, transportation, handling, generation, threatened release, discharge, release, storage, treatment, generation, disposal, leaching or escape of Hazardous Substances on, in, over, under or otherwise affecting the Site [or the EI Site] (including the soil, subsoil, surface water or ground water on or beneath the Site [or the EI Site] and the air above the same) or, prior to the date of transfer thereof, affecting the Evacuation Infrastructure except to the extent the relevant condition or matter was (i) affecting the Site [or EI Site] prior to the Effective Date or (ii) was caused by a person other than the EPC Contractor or its personnel and Subcontractors).
(c)If the EPC Contractor or the Owner finds any divergence between any of the Legal Requirements and the OTS it shall immediately give notice to the other specifying the nature of the divergence.  The EPC Contractor shall promptly upon becoming aware of the same inform the Owner in writing of its proposed amendment for removing the divergence except where these are the Owner's responsibility under clause 5 (Owner's responsibilities) and, with the Owner's written Approval, which Approval shall not be unreasonably delayed or withheld, the EPC Contractor shall entirely at its own cost and expense complete the Works in accordance with the amendment."
4.7Local suppliers,"The EPC Contractor shall develop a Local Content Plan and such other plans listed in appendix Z (Specific E&S Management Plans) related to the use of locally manufactured goods or services required for the Project are available from both Uzbek suppliers and non-local suppliers, the EPC Contractor shall, and shall cause its Subcontractors to, assure the participation of such local suppliers in the bidding or contracting process and, when the goods or services of such local suppliers are reasonably equivalent in cost, quality and delivery time to the non-local supplier goods or services, acquire such goods or services from such Uzbek suppliers."
4.8Employment of nationals of Uzbekistan,"(a)The EPC Contractor shall develop a Local Recruitment Plan and such other plans listed in appendix Z (Specific E&S Management Plans) related to the employment of Uzbekistan citizens for the construction of the Project, in accordance with the requirements of the ESIA
(b)Without prejudice to clause 4.8(a), the EPC Contractor shall give preference, to the use in the performance of its obligations under this Contract, to Uzbek labour (both skilled and unskilled, and with priority given to persons and vulnerable groups affected by the Project), Uzbek supervisory, professional and other personnel, Uzbek services and Uzbek contractors, provided that the Contractor shall use reasonable endeavours to procure that more than fifty per cent (50%) of the total number of people on the Site are of Uzbek nationality, and provided further that such personnel, service providers and contractors are at least as reasonably favourable to the EPC Contractor as others available taking into account price, quality, reliability and schedule."
4.9Provision of raw materials,"Except as otherwise provided in the OTS, the EPC Contractor shall provide all raw materials and Consumables (including Lubricants, resins, fills, refills and top-ups), utilities and services of whatsoever nature (including electricity, telecommunications, water and waste and water disposal services) and labour (including procuring all required work permits, visas and other labour-related approvals) which are required for the proper execution of the Works including but not limited to the Taking Over Tests in accordance with the requirements of the Contract."
5.8Personnel for testing and Commissioning,"Appropriately qualified plant operators employed and provided by the Owner whether directly or through a subcontractor, and trained by the EPC Contractor in accordance with clause 4.10 (Training) shall observe the EPC Contractor in the testing and Commissioning activities.  Any act or omission of personnel provided by the Owner to observe such commissioning and testing shall not be deemed to be an act or omission of or on behalf of the Owner for the purposes of the Contract and the EPC Contractor shall not be released from any of its obligations under the Contract by reason of any such act or omission unless and to the extent that such personnel has wilfully failed to comply with a reasonable instruction issued by the EPC Contractor and further provided that the Owner does not adversely interfere with the actions of such plant operators in providing assistance to the EPC Contractor in relation to the commissioning and testing activities."
5.9Scope of Owner's supply obligations,"The responsibilities of the Owner set out in clauses 5.2 (Possession of and access to the Site and Easement Areas) to 5.8 (Personnel for testing and commissioning) above constitute, an exhaustive description of the Owner's responsibilities and scope of supply in connection with the execution of the Works, subject to the express provisions of the Contract."
6.1Designation of Owner's Representative,The Owner shall within seven (7) Days from the Effective Date designate the Owner's Representative (and shall notify the EPC Contractor of that designation as soon as practicable thereafter).  The Owner may from time to time appoint some other person as the Owner's Representative in place of the person previously so appointed and shall give notice to the EPC Contractor without delay.  Such appointment shall only take effect upon receipt of such notice by the EPC Contractor.
6.2Authority of Owner's Representative,"Except as herein otherwise provided or notified to the EPC Contractor by the Owner in writing from time to time, the Owner's Representative shall have full authority to represent and act for the Owner at all times during the performance of the Contract.  In particular all notices, instructions, orders, certificates, information and all other communications given by the Owner to the EPC Contractor or by the EPC Contractor to the Owner under the Contract (other than notices of termination and suspension which may only be given and received by the Owner) shall be given by or to the Owner's Representative.  Unless it is legally or physically impossible, the EPC Contractor shall comply with all of the instructions properly given by (or on behalf of) the Owner's Representative in accordance with the Contract."
