clause_type,clause
19.4.3Limitation,"The Parties shall only be able to claim the benefit of Clause 19.2 to excuse their obligations under this Contract for any Force Majeure Event that occurs, or is in effect, after the Commencement Date."
20.8Equivalent Project Relief,"The Employer shall deliver to the Contractor, prior to the Commencement Date, copies or, in case of non-disclosure or confidentiality undertakings impeding the sharing of copies, extracts of all relevant provisions of each Principal Project Agreement executed on or before the Commencement Date.  Following the Commencement Date, the Employer shall deliver to the Contractor copies or, in case of non-disclosure or confidentiality undertakings impeding the sharing of copies, extracts of all relevant provisions of further Project Documents as soon as practicable following execution. This Clause 20 shall not apply to the extent that any claim by the Contractor is limited or prejudiced by any amendment to the Principal Project Agreements after the date of this Contract."
23.1Notice to proceed for early works,"After the Base Date and prior to the Commencement Date, Employer shall be allowed but shall not be obliged to issue a notice to proceed for the early works as described in Schedule 17 and Contractor undertakes to start such early works in accordance with the time included for such works in Schedule 7 [Programme] subject to Clause 23.2."
23.6Notice to proceed for early works,"For the avoidance of doubt, even if Employer issues a notice to proceed for early works, the conditions for the Commencement Date remain unchanged and Employer is not obliged to waive any of the conditions required to for the Commencement Date."
1.1.67Financial Close,Financial Close means the signing of the Loan Documents and the fulfilment of all conditions to the availability of funds thereunder.
2.5.12.5Employer’s financial arrangements,"Once Financial Close has been achieved, Employer shall submit, within 28 days after receiving any request from the Contractor, reasonable evidence that financial arrangements have been made and are being maintained which will enable the Employer to pay the Contract Price in accordance with Clause 14 [Contract Price and Payment]. If the Employer intends to make any material change to his financial arrangements, the Employer shall give notice to the Contractor with detailed particulars. Any undertakings assumed by Employer under this Sub-Clause 2.5 shall be subject to the confidentiality requirements agreed with Lender and Employer shall be in any case under no obligation to disclose sensitive commercial agreements including but not limited to financing costs, applicable interest rates, fees and commissions paid or details of hedging arrangements."
4.4.1Subcontracts,"The Contractor may subcontract part of the Works: (a)to the Pre-Approved Subcontractors; and (b)to Subcontractors where the aggregate value of the relevant subcontract package or packages for each individual Subcontractor and its respective Affiliates is less than the amount in MYR equivalent to 500,000 USD on the date of Financial Close, in each case without the prior consent of the Employer."
8.7.1Delay Damages,"If the Contractor fails to achieve the Guaranteed Completion Date for the Works, the Contractor shall pay or allow to the Employer liquidated damages for delay at the daily rate equal to the aggregate of: (a) the amount in MYR equivalent to USD 45,790 on the date of Financial Close; plus; (b) the liquidated damages that the Employer paid to the Buyer under the Section 8.1 of the PPA because of delays attributable to Contractor and accrued from the later of PPA COD or, the date falling 14 days after Guaranteed Completion Date or as extended under the Contract, in each case, up to and including the Commercial Operation Date is achieved."
8.7.2Delay Damages,"If the Contractor fails to achieve the Provisional Acceptance Date for the Works within six months after the Commercial Operation Date, the Contractor shall pay or allow to the Employer liquidated damages for delay at the daily rate equal of the amount in MYR equivalent to USD 5,000 on the date of Financial Close, up to and including the Provisional Acceptance Date for the Works."
8.8.1Capacity Liquidated Damages,"If the capacity of the plant in MWp is below the Guaranteed Nominal Capacity the Contractor shall pay the principal Capacity liquidated damages the amount in MYR equivalent to USD 750,000 on the date of Financial Close per each MWp below the Guaranteed Nominal Capacity."
1.6.1Contract Agreement and Prior Agreements,"Each Party shall be responsible for its own expenses incurred in connection with the preparation and execution of the Contract, provided that the costs of stamp duties and similar charges (if any) imposed by law in connection with entry into the Contract Agreement shall be borne by the Contractor."
1.1.70Financing Documents,"“Financing Documents” means the loan agreements (including agreements for any subordinated debt), notes, bonds, indenture, guarantees, security agreements, hedging agreements and any other documents relating to the financing or refinancing and security arrangements for the Project which have been or are to be entered into by the Employer,"
1.1.87Initial Operation Date,“Initial Operation Date” means the date on which Net Electrical Output is first generated and delivered from the Facility to the Grid System which shall occur no earlier than the date defined in the PPA as Initial Operation Date.
1.1.139Site,"""Site"" means the land subject to the Land Lease Agreement, the Site Layout included in the Employer’s Requirements and Right of Ways on which the Project will be undertaken by the Employer in accordance with this Contract and the Principal Project Agreements and to which Plant and Materials are to be delivered and where the Permanent Works are to be executed, and any other places as may be specified in the Contract as forming part of the Site."
2.1.1Right of Access to the Site,"Subject to Sub-Clause 2.1.2, the Employer shall give the Contractor right of access to all parts of the Site, as well as the benefit of any easement granted in favour of the Employer under the Land Lease Agreement, during the performance of the Works and after the Provisional Acceptance Date, to such parts of the Site and the benefit of such easements as the Contractor may reasonably require to comply with its obligations in relation to Defects. The right and, as far as applicable, possession shall not be exclusive to the Contractor."
2.6.1Employer's Claims,"If the Employer considers himself to be entitled to any payment under any Clause of these conditions or otherwise in connection with the Contract, and/or to any extension of the Defects Notification Period he shall give notice and particulars to the Contractor."
3.1.3The Employer's Representative,"If the Employer wishes to replace any person appointed as Employer's Representative, the Employer shall give the Contractor not less than 14 days' notice of the replacement's name, address, duties and authority, and of the date of appointment."
